Date,Spike_Type,Illiquidity,FinBERT_Sentiment
2022-01-03,Illiquidity Spike,1.3019807699094843e-09,-0.0038614670781503
2021-12-09,Illiquidity Spike,1.0255398163317395e-09,-0.0703680403403309
2022-01-31,Illiquidity Spike,1.0224071569124586e-09,-0.0288596629187191
2022-05-09,Illiquidity Spike,9.99110101745031e-10,-0.10102480856747
2022-02-15,Illiquidity Spike,9.302548307056231e-10,-0.0195974891172669
2022-02-17,Illiquidity Spike,9.232362483627819e-10,-0.0865563927425478
2022-05-05,Illiquidity Spike,9.002049649799894e-10,-0.0568496538561666
2022-04-26,Illiquidity Spike,8.950114396324253e-10,-0.1351719270618418
2021-11-29,Illiquidity Spike,8.716762636291284e-10,-0.0022853348538817
2021-11-26,Illiquidity Spike,8.714395589118989e-10,-0.0652181586940723
2022-05-11,Illiquidity Spike,8.490220421216481e-10,-0.0907635916151576
2022-05-27,Illiquidity Spike,8.212448909505121e-10,-0.0432670205033674
2022-06-03,Illiquidity Spike,8.20273003362015e-10,-0.1579262902904269
2022-04-11,Illiquidity Spike,8.141921703352196e-10,-0.0623661956475098
2021-12-22,Illiquidity Spike,8.004239395131933e-10,0.0100741068272017
2022-06-16,Illiquidity Spike,7.952988399045963e-10,-0.0628055329827085
2022-01-27,Illiquidity Spike,7.854132847960498e-10,-0.0904536133579601
2022-03-28,Illiquidity Spike,7.838077769145651e-10,-0.0220081347339168
2022-05-24,Illiquidity Spike,7.773341965381582e-10,-0.1488099362948918
2022-05-18,Illiquidity Spike,7.745405301344359e-10,-0.1219531209622634
2022-03-11,Illiquidity Spike,7.642721105336135e-10,-0.0682089602033999
2022-06-21,Illiquidity Spike,7.61805217084674e-10,-0.0226223651061263
2022-02-28,Illiquidity Spike,7.55275324584318e-10,0.0165494518196786
2021-10-19,Sentiment Spike,1.2871952178458988e-10,0.0281132257553586
2021-10-25,Sentiment Spike,6.715022708115286e-10,0.0243389190169982
2021-10-18,Sentiment Spike,4.4232356401448677e-10,0.0218366231288785
2021-09-27,Sentiment Spike,2.602246377947744e-10,0.0180956175170731
2022-02-28,Sentiment Spike,7.55275324584318e-10,0.0165494518196786
2021-10-22,Sentiment Spike,2.5551419471800617e-10,0.0159570251435733
2021-08-23,Sentiment Spike,6.296522153180861e-10,0.0154125626422363
2021-09-08,Sentiment Spike,2.237979056470304e-11,0.0109816302079706
2021-12-22,Sentiment Spike,8.004239395131933e-10,0.0100741068272017
2021-09-16,Sentiment Spike,3.674298202230771e-11,0.0090767732109414
2021-09-28,Sentiment Spike,2.290175236351395e-10,0.0065189011407313
2021-09-07,Sentiment Spike,4.387575157003602e-10,0.0052599436615518
2021-10-12,Sentiment Spike,2.634009582706761e-10,0.0048414870289887
2022-03-01,Sentiment Spike,9.311798864950343e-11,0.0023743648621884
2021-11-29,Sentiment Spike,8.716762636291284e-10,-0.0022853348538817
2021-10-29,Sentiment Spike,3.8233210289536004e-10,-0.0026991349571432
2021-11-04,Sentiment Spike,1.7353873335700574e-10,-0.0027708448903063
2022-01-03,Sentiment Spike,1.3019807699094843e-09,-0.0038614670781503
2021-09-02,Sentiment Spike,6.041412368697302e-11,-0.004368114446927
2021-08-30,Sentiment Spike,4.779270746201276e-10,-0.0052356176351109
2021-10-14,Sentiment Spike,2.429527048224434e-10,-0.0055475509215662
2022-03-22,Sentiment Spike,7.467040506079841e-10,-0.0056496307561564
2021-11-19,Sentiment Spike,5.714721942554522e-10,-0.0062750367577737
