Date,Spike_Type,Volume,FinBERT_Sentiment
2021-10-25,Volume Spike,188556300.0,0.0243389190169982
2021-10-26,Volume Spike,187245000.0,-0.0085620059342793
2021-11-09,Volume Spike,177317400.0,-0.0739109975032245
2021-11-01,Volume Spike,168146100.0,-0.0071295398534775
2022-01-24,Volume Spike,151565700.0,-0.0774540060086318
2022-01-27,Volume Spike,147109500.0,-0.0904536133579601
2022-05-20,Volume Spike,144973200.0,-0.1167808090725117
2022-05-12,Volume Spike,140313000.0,-0.0875523517706065
2022-04-26,Volume Spike,136133700.0,-0.1351719270618418
2022-02-24,Volume Spike,135322200.0,-0.0665449021245718
2022-01-28,Volume Spike,134789100.0,-0.0756666891107953
2021-11-10,Volume Spike,128408100.0,-0.0520017039002208
2021-11-02,Volume Spike,128213400.0,-0.0337002856541689
2022-04-28,Volume Spike,124948500.0,-0.1016161818092241
2022-06-21,Volume Spike,122793000.0,-0.0226223651061263
2022-03-23,Volume Spike,120676200.0,-0.0096322426943392
2022-06-15,Volume Spike,119131800.0,-0.0743884967193889
2021-10-27,Volume Spike,115579500.0,-0.0206896019518602
2022-06-03,Volume Spike,112393800.0,-0.1579262902904269
2021-11-23,Volume Spike,108515100.0,-0.0660114732235147
2022-06-16,Volume Spike,107390700.0,-0.0628055329827085
2022-05-26,Volume Spike,106003200.0,-0.0380331686667593
2022-03-22,Volume Spike,105868500.0,-0.0056496307561564
2021-10-19,Sentiment Spike,52143300.0,0.0281132257553586
2021-10-25,Sentiment Spike,188556300.0,0.0243389190169982
2021-10-18,Sentiment Spike,72621600.0,0.0218366231288785
2021-09-27,Sentiment Spike,84212100.0,0.0180956175170731
2022-02-28,Sentiment Spike,99006900.0,0.0165494518196786
2021-10-22,Sentiment Spike,68642400.0,0.0159570251435733
2021-08-23,Sentiment Spike,60794700.0,0.0154125626422363
2021-09-08,Sentiment Spike,56379000.0,0.0109816302079706
2021-12-22,Sentiment Spike,93634200.0,0.0100741068272017
2021-09-16,Sentiment Spike,41770200.0,0.0090767732109414
2021-09-28,Sentiment Spike,76144200.0,0.0065189011407313
2021-09-07,Sentiment Spike,60119400.0,0.0052599436615518
2021-10-12,Sentiment Spike,66060000.0,0.0048414870289887
2022-03-01,Sentiment Spike,74766900.0,0.0023743648621884
2021-11-29,Sentiment Spike,58393500.0,-0.0022853348538817
2021-10-29,Sentiment Spike,89755200.0,-0.0026991349571432
2021-11-04,Sentiment Spike,76192200.0,-0.0027708448903063
2022-01-03,Sentiment Spike,103931400.0,-0.0038614670781503
2021-09-02,Sentiment Spike,38331900.0,-0.004368114446927
2021-08-30,Sentiment Spike,55812600.0,-0.0052356176351109
2021-10-14,Sentiment Spike,36741600.0,-0.0055475509215662
2022-03-22,Sentiment Spike,105868500.0,-0.0056496307561564
2021-11-19,Sentiment Spike,64926900.0,-0.0062750367577737
