Rank,Post_Title,Author,Engagement_Score,Engagement_Share_pct,Cumulative_Engagement_Share_pct
1,"Thanks to $TSLA, I’m buying a new wife for Christmas.",qt5fe7,0.4231635939203925,0.09,0.09
2,TSLA,oiordb,0.394797337654173,0.08,0.16
3,Shots fired! Cathie calling out GM after TSLA deliveries!,q05y3e,0.3353361199292947,0.07,0.23
4,The lore of TSLA. Short now or die trying.,vowl9x,0.3096103953074585,0.06,0.29
5,"$TSLA Daily Thread - April 28, 2022",udm8iv,0.2861647552625443,0.06,0.35
6,My case for buying $TSLA,ujenc8,0.2841062287700802,0.06,0.41
7,💸 $1 Million Dollar Tesla Short ($TSLA) 📉,qiid53,0.2708141858701477,0.05,0.46
8,"$TSLA Daily Thread - January 03, 2022",rusdwo,0.2696675368867202,0.05,0.52
9,"$TSLA Daily Investor Discussion - October 25, 2021",qf9fnp,0.2650670028446535,0.05,0.57
10,Tesla (TSLA): buy shares today and you get the beast tomorrow!,pj790n,0.2639016730033458,0.05,0.63
11,"$TSLA Daily Thread - October 25, 2021",qf8vnr,0.2618378623559245,0.05,0.68
12,I just dropped $420K on 850 $TSLA calls and FDs. If Tesla announces a...,r83f34,0.2598782894795396,0.05,0.73
13,Those who are bearish on TSLA what are your main talking points?,tny5je,0.2563134355865158,0.05,0.78
14,"$TSLA Daily Thread - January 27, 2022",sdqdlm,0.2422080297906212,0.05,0.83
15,TSLA to offer disruptive insurance product,qa5o0c,0.2400829388749637,0.05,0.88
16,"$TSLA Daily Investor Discussion - January 27, 2022",sdrep6,0.2396536833804691,0.05,0.93
17,"$TSLA Weekend Super Chill Thread - January 15, 2022",s4cd8g,0.23840183518098,0.05,0.98
18,TSLA hits $1000. Makes it a first $1T Auto company,qfmugy,0.2365673750003641,0.05,1.02
19,"$TSLA Daily Thread - November 01, 2021",qk6alq,0.2309908323479775,0.05,1.07
20,$TSLA AI DAY - Why this is not going to be another Battery Day,p5ir84,0.2300822162298737,0.05,1.12
